Company,Location,Job_Title,Experience_Level,Skills_Required,CTC(LPA),Hiring_Type,Source,Post_Date,Apply_Link
TCS,Chennai,Business Analyst,2-5 yrs,"AWS, Azure, DevOps",10.3,Internship,Naukri,2025-10-19,https://www.example.com/apply/tcs/Business-Analyst
Wipro,Bengaluru,Business Analyst,Fresher,"Linux, Networking, Troubleshooting",4.7,Internship,LinkedIn,2025-09-14,https://www.example.com/apply/wipro/Business-Analyst
TCS,Mumbai,Data Analyst,2-5 yrs,"Python, SQL, Power BI",17.4,Internship,Naukri,2025-09-24,https://www.example.com/apply/tcs/Data-Analyst
Wipro,Bengaluru,Support Executive,2-5 yrs,"AWS, Azure, DevOps",17.5,Full-time,Indeed,2025-10-09,https://www.example.com/apply/wipro/Support-Executive
Wipro,Pune,Test Engineer,2-5 yrs,"AI/ML, Deep Learning",12.3,Full-time,Indeed,2025-10-15,https://www.example.com/apply/wipro/Test-Engineer
TCS,Gurugram,System Analyst,Fresher,"Linux, Networking, Troubleshooting",13.0,Full-time,Naukri,2025-09-25,https://www.example.com/apply/tcs/System-Analyst
Accenture,Mumbai,Technical Support,Fresher,"AI/ML, Deep Learning",12.8,Contract,Indeed,2025-09-14,https://www.example.com/apply/accenture/Technical-Support
Wipro,Gurugram,Cloud Engineer,2-5 yrs,"Excel, Tableau, SQL",15.9,Full-time,Naukri,2025-09-24,https://www.example.com/apply/wipro/Cloud-Engineer
Tech Mahindra,Hyderabad,Process Associate,5-10 yrs,"Java, Spring Boot",19.0,Full-time,LinkedIn,2025-09-04,https://www.example.com/apply/tech mahindra/Process-Associate
Tech Mahindra,Chennai,Business Analyst,2-5 yrs,"AI/ML, Deep Learning",15.4,Contract,Naukri,2025-10-21,https://www.example.com/apply/tech mahindra/Business-Analyst
Cognizant,Bengaluru,Test Engineer,0-2 yrs,"ETL, Data Warehousing",7.7,Full-time,LinkedIn,2025-10-10,https://www.example.com/apply/cognizant/Test-Engineer
Infosys,Noida,Support Executive,Fresher,"Linux, Networking, Troubleshooting",7.8,Contract,Indeed,2025-09-25,https://www.example.com/apply/infosys/Support-Executive
TCS,Gurugram,Cloud Engineer,0-2 yrs,"AWS, Azure, DevOps",14.2,Contract,Glassdoor,2025-09-27,https://www.example.com/apply/tcs/Cloud-Engineer
Tech Mahindra,Mumbai,Support Executive,0-2 yrs,"Customer Support, Voice Process",12.7,Internship,Naukri,2025-10-13,https://www.example.com/apply/tech mahindra/Support-Executive
Wipro,Gurugram,Data Analyst,0-2 yrs,"ETL, Data Warehousing",8.7,Internship,Naukri,2025-09-04,https://www.example.com/apply/wipro/Data-Analyst
Infosys,Mumbai,System Analyst,0-2 yrs,"Python, SQL, Power BI",18.9,Internship,LinkedIn,2025-10-18,https://www.example.com/apply/infosys/System-Analyst
TCS,Kolkata,Data Analyst,Fresher,"AI/ML, Deep Learning",3.9,Internship,Glassdoor,2025-10-08,https://www.example.com/apply/tcs/Data-Analyst
Infosys,Pune,System Analyst,2-5 yrs,"AI/ML, Deep Learning",13.4,Internship,Glassdoor,2025-09-13,https://www.example.com/apply/infosys/System-Analyst
TCS,Mumbai,Data Analyst,5-10 yrs,"Customer Support, Voice Process",14.2,Full-time,Glassdoor,2025-10-14,https://www.example.com/apply/tcs/Data-Analyst
Tech Mahindra,Jaipur,Business Analyst,5-10 yrs,"Linux, Networking, Troubleshooting",18.0,Contract,Indeed,2025-09-30,https://www.example.com/apply/tech mahindra/Business-Analyst
Wipro,Noida,Process Associate,0-2 yrs,"Customer Support, Voice Process",16.6,Internship,Glassdoor,2025-10-12,https://www.example.com/apply/wipro/Process-Associate
TCS,Bengaluru,Business Analyst,0-2 yrs,"JavaScript, React, Node.js",5.7,Contract,Glassdoor,2025-09-19,https://www.example.com/apply/tcs/Business-Analyst
TCS,Noida,Technical Support,2-5 yrs,"Customer Support, Voice Process",18.2,Full-time,Indeed,2025-09-01,https://www.example.com/apply/tcs/Technical-Support
Wipro,Chennai,Data Analyst,0-2 yrs,"ETL, Data Warehousing",17.0,Contract,Glassdoor,2025-10-08,https://www.example.com/apply/wipro/Data-Analyst
Cognizant,Bengaluru,System Analyst,0-2 yrs,"Linux, Networking, Troubleshooting",8.0,Full-time,LinkedIn,2025-10-10,https://www.example.com/apply/cognizant/System-Analyst
Wipro,Ahmedabad,Data Analyst,5-10 yrs,"Excel, Tableau, SQL",5.9,Full-time,Indeed,2025-10-15,https://www.example.com/apply/wipro/Data-Analyst
Cognizant,Ahmedabad,Support Executive,Fresher,"AWS, Azure, DevOps",19.2,Internship,Glassdoor,2025-10-14,https://www.example.com/apply/cognizant/Support-Executive
Wipro,Kolkata,Support Executive,2-5 yrs,"Linux, Networking, Troubleshooting",19.6,Internship,Naukri,2025-10-08,https://www.example.com/apply/wipro/Support-Executive
Cognizant,Bengaluru,Test Engineer,0-2 yrs,Automation Testing,8.7,Full-time,Glassdoor,2025-09-19,https://www.example.com/apply/cognizant/Test-Engineer
TCS,Gurugram,DevOps Engineer,Fresher,"AI/ML, Deep Learning",12.7,Internship,Glassdoor,2025-10-12,https://www.example.com/apply/tcs/DevOps-Engineer
Tech Mahindra,Kolkata,Data Analyst,2-5 yrs,"Linux, Networking, Troubleshooting",13.1,Full-time,LinkedIn,2025-10-13,https://www.example.com/apply/tech mahindra/Data-Analyst
TCS,Pune,Data Analyst,2-5 yrs,"Java, Spring Boot",3.7,Internship,LinkedIn,2025-10-08,https://www.example.com/apply/tcs/Data-Analyst
Capgemini,Gurugram,DevOps Engineer,2-5 yrs,"Linux, Networking, Troubleshooting",17.6,Contract,Naukri,2025-09-13,https://www.example.com/apply/capgemini/DevOps-Engineer
Tech Mahindra,Gurugram,Support Executive,2-5 yrs,"JavaScript, React, Node.js",18.0,Contract,Naukri,2025-09-28,https://www.example.com/apply/tech mahindra/Support-Executive
Accenture,Pune,Software Engineer,5-10 yrs,"Excel, Tableau, SQL",6.1,Internship,Indeed,2025-10-02,https://www.example.com/apply/accenture/Software-Engineer
Cognizant,Noida,System Analyst,Fresher,"Linux, Networking, Troubleshooting",14.8,Internship,Indeed,2025-09-10,https://www.example.com/apply/cognizant/System-Analyst
LTIMindtree,Noida,Technical Support,2-5 yrs,"Customer Support, Voice Process",19.2,Internship,LinkedIn,2025-09-25,https://www.example.com/apply/ltimindtree/Technical-Support
Cognizant,Kolkata,DevOps Engineer,0-2 yrs,"Python, SQL, Power BI",16.8,Internship,Naukri,2025-09-22,https://www.example.com/apply/cognizant/DevOps-Engineer
Wipro,Chennai,Technical Support,5-10 yrs,"ETL, Data Warehousing",19.3,Full-time,LinkedIn,2025-09-14,https://www.example.com/apply/wipro/Technical-Support
TCS,Kolkata,Data Analyst,2-5 yrs,Automation Testing,16.5,Full-time,Naukri,2025-10-08,https://www.example.com/apply/tcs/Data-Analyst
Infosys,Jaipur,Software Engineer,2-5 yrs,"Linux, Networking, Troubleshooting",18.7,Internship,Glassdoor,2025-10-12,https://www.example.com/apply/infosys/Software-Engineer
TCS,Gurugram,Business Analyst,Fresher,"Python, SQL, Power BI",12.2,Contract,Naukri,2025-09-23,https://www.example.com/apply/tcs/Business-Analyst
Tech Mahindra,Pune,Cloud Engineer,0-2 yrs,"JavaScript, React, Node.js",6.0,Internship,LinkedIn,2025-09-10,https://www.example.com/apply/tech mahindra/Cloud-Engineer
Accenture,Pune,Support Executive,5-10 yrs,"Excel, Tableau, SQL",15.4,Contract,Glassdoor,2025-10-20,https://www.example.com/apply/accenture/Support-Executive
LTIMindtree,Gurugram,Business Analyst,2-5 yrs,"ETL, Data Warehousing",14.4,Internship,Glassdoor,2025-10-20,https://www.example.com/apply/ltimindtree/Business-Analyst
Tech Mahindra,Gurugram,Software Engineer,Fresher,"ETL, Data Warehousing",16.0,Internship,Naukri,2025-09-28,https://www.example.com/apply/tech mahindra/Software-Engineer
Wipro,Jaipur,Cloud Engineer,2-5 yrs,"AWS, Azure, DevOps",11.1,Contract,Indeed,2025-10-15,https://www.example.com/apply/wipro/Cloud-Engineer
Infosys,Noida,Software Engineer,5-10 yrs,"Linux, Networking, Troubleshooting",19.7,Contract,Glassdoor,2025-10-03,https://www.example.com/apply/infosys/Software-Engineer
TCS,Pune,Software Engineer,Fresher,"Excel, Tableau, SQL",19.7,Contract,Naukri,2025-09-15,https://www.example.com/apply/tcs/Software-Engineer
TCS,Kolkata,Software Engineer,Fresher,Automation Testing,4.2,Contract,Glassdoor,2025-09-04,https://www.example.com/apply/tcs/Software-Engineer
Infosys,Ahmedabad,Cloud Engineer,Fresher,"Linux, Networking, Troubleshooting",15.5,Internship,LinkedIn,2025-09-26,https://www.example.com/apply/infosys/Cloud-Engineer
IBM,Ahmedabad,Data Analyst,0-2 yrs,"Linux, Networking, Troubleshooting",19.9,Full-time,Indeed,2025-10-20,https://www.example.com/apply/ibm/Data-Analyst
TCS,Bengaluru,DevOps Engineer,Fresher,Automation Testing,13.4,Full-time,LinkedIn,2025-09-19,https://www.example.com/apply/tcs/DevOps-Engineer
Capgemini,Pune,Business Analyst,Fresher,"AWS, Azure, DevOps",3.5,Full-time,Indeed,2025-09-18,https://www.example.com/apply/capgemini/Business-Analyst
Cognizant,Ahmedabad,DevOps Engineer,0-2 yrs,Automation Testing,3.6,Internship,Glassdoor,2025-09-16,https://www.example.com/apply/cognizant/DevOps-Engineer
Infosys,Jaipur,Business Analyst,0-2 yrs,Automation Testing,9.7,Contract,LinkedIn,2025-09-18,https://www.example.com/apply/infosys/Business-Analyst
Cognizant,Bengaluru,Software Engineer,5-10 yrs,"Customer Support, Voice Process",18.0,Contract,Glassdoor,2025-09-10,https://www.example.com/apply/cognizant/Software-Engineer
TCS,Noida,Cloud Engineer,2-5 yrs,"Excel, Tableau, SQL",19.5,Full-time,LinkedIn,2025-09-07,https://www.example.com/apply/tcs/Cloud-Engineer
Cognizant,Noida,Cloud Engineer,0-2 yrs,"Linux, Networking, Troubleshooting",12.3,Full-time,Glassdoor,2025-09-14,https://www.example.com/apply/cognizant/Cloud-Engineer
IBM,Jaipur,Support Executive,Fresher,"JavaScript, React, Node.js",12.1,Contract,LinkedIn,2025-09-07,https://www.example.com/apply/ibm/Support-Executive
TCS,Hyderabad,Technical Support,0-2 yrs,"Python, SQL, Power BI",8.6,Contract,LinkedIn,2025-09-20,https://www.example.com/apply/tcs/Technical-Support
Accenture,Noida,DevOps Engineer,0-2 yrs,"Linux, Networking, Troubleshooting",6.2,Internship,Glassdoor,2025-09-16,https://www.example.com/apply/accenture/DevOps-Engineer
Wipro,Hyderabad,Business Analyst,2-5 yrs,"Excel, Tableau, SQL",7.1,Internship,LinkedIn,2025-10-02,https://www.example.com/apply/wipro/Business-Analyst
Accenture,Gurugram,Technical Support,2-5 yrs,"Python, SQL, Power BI",4.8,Full-time,Naukri,2025-09-19,https://www.example.com/apply/accenture/Technical-Support
Cognizant,Jaipur,Technical Support,0-2 yrs,"Customer Support, Voice Process",10.1,Internship,Glassdoor,2025-09-17,https://www.example.com/apply/cognizant/Technical-Support
Wipro,Hyderabad,Software Engineer,Fresher,"JavaScript, React, Node.js",18.3,Internship,LinkedIn,2025-09-21,https://www.example.com/apply/wipro/Software-Engineer
TCS,Chennai,Test Engineer,Fresher,"AWS, Azure, DevOps",10.1,Internship,Naukri,2025-09-15,https://www.example.com/apply/tcs/Test-Engineer
Infosys,Ahmedabad,Technical Support,5-10 yrs,Automation Testing,11.4,Full-time,Glassdoor,2025-09-14,https://www.example.com/apply/infosys/Technical-Support
Capgemini,Noida,Software Engineer,Fresher,"Python, SQL, Power BI",17.7,Full-time,Indeed,2025-09-26,https://www.example.com/apply/capgemini/Software-Engineer
Infosys,Gurugram,Software Engineer,5-10 yrs,"AWS, Azure, DevOps",3.9,Internship,Naukri,2025-09-16,https://www.example.com/apply/infosys/Software-Engineer
Infosys,Ahmedabad,Support Executive,Fresher,"AWS, Azure, DevOps",17.2,Full-time,Glassdoor,2025-09-17,https://www.example.com/apply/infosys/Support-Executive
Infosys,Mumbai,System Analyst,0-2 yrs,"Excel, Tableau, SQL",15.6,Contract,Glassdoor,2025-10-21,https://www.example.com/apply/infosys/System-Analyst
Accenture,Noida,DevOps Engineer,2-5 yrs,"Java, Spring Boot",8.6,Contract,Glassdoor,2025-10-19,https://www.example.com/apply/accenture/DevOps-Engineer
Accenture,Bengaluru,Technical Support,0-2 yrs,Automation Testing,12.4,Internship,Indeed,2025-09-18,https://www.example.com/apply/accenture/Technical-Support
Accenture,Bengaluru,Business Analyst,5-10 yrs,"Customer Support, Voice Process",6.0,Contract,LinkedIn,2025-10-04,https://www.example.com/apply/accenture/Business-Analyst
TCS,Kolkata,Data Analyst,Fresher,"Linux, Networking, Troubleshooting",14.3,Internship,Glassdoor,2025-10-14,https://www.example.com/apply/tcs/Data-Analyst
TCS,Jaipur,DevOps Engineer,0-2 yrs,"ETL, Data Warehousing",5.6,Contract,Glassdoor,2025-10-07,https://www.example.com/apply/tcs/DevOps-Engineer
Capgemini,Noida,Cloud Engineer,0-2 yrs,"AWS, Azure, DevOps",15.9,Full-time,LinkedIn,2025-09-22,https://www.example.com/apply/capgemini/Cloud-Engineer
HCL,Chennai,Data Analyst,0-2 yrs,"Excel, Tableau, SQL",4.4,Full-time,Glassdoor,2025-09-01,https://www.example.com/apply/hcl/Data-Analyst
Accenture,Gurugram,Business Analyst,0-2 yrs,"AI/ML, Deep Learning",14.7,Internship,LinkedIn,2025-10-16,https://www.example.com/apply/accenture/Business-Analyst
Tech Mahindra,Hyderabad,Software Engineer,0-2 yrs,"ETL, Data Warehousing",6.0,Internship,Glassdoor,2025-09-08,https://www.example.com/apply/tech mahindra/Software-Engineer
IBM,Kolkata,Support Executive,2-5 yrs,"Customer Support, Voice Process",6.9,Full-time,Glassdoor,2025-10-16,https://www.example.com/apply/ibm/Support-Executive
Wipro,Jaipur,Support Executive,Fresher,"Excel, Tableau, SQL",17.3,Internship,LinkedIn,2025-10-05,https://www.example.com/apply/wipro/Support-Executive
TCS,Bengaluru,Business Analyst,0-2 yrs,"AWS, Azure, DevOps",16.6,Contract,Glassdoor,2025-10-16,https://www.example.com/apply/tcs/Business-Analyst
Infosys,Kolkata,Business Analyst,5-10 yrs,"ETL, Data Warehousing",4.6,Contract,Naukri,2025-10-07,https://www.example.com/apply/infosys/Business-Analyst
HCL,Ahmedabad,Software Engineer,0-2 yrs,"ETL, Data Warehousing",7.7,Internship,Glassdoor,2025-09-23,https://www.example.com/apply/hcl/Software-Engineer
Infosys,Chennai,Process Associate,2-5 yrs,"ETL, Data Warehousing",14.8,Contract,Glassdoor,2025-10-16,https://www.example.com/apply/infosys/Process-Associate
Wipro,Mumbai,Test Engineer,Fresher,"Customer Support, Voice Process",14.4,Full-time,Naukri,2025-10-18,https://www.example.com/apply/wipro/Test-Engineer
TCS,Ahmedabad,Cloud Engineer,2-5 yrs,"Java, Spring Boot",3.7,Contract,LinkedIn,2025-09-10,https://www.example.com/apply/tcs/Cloud-Engineer
Cognizant,Noida,Data Analyst,0-2 yrs,"Python, SQL, Power BI",18.8,Full-time,Indeed,2025-09-04,https://www.example.com/apply/cognizant/Data-Analyst
Cognizant,Ahmedabad,Software Engineer,Fresher,"ETL, Data Warehousing",4.2,Internship,Indeed,2025-09-25,https://www.example.com/apply/cognizant/Software-Engineer
Infosys,Kolkata,Business Analyst,0-2 yrs,"Customer Support, Voice Process",5.7,Full-time,LinkedIn,2025-10-09,https://www.example.com/apply/infosys/Business-Analyst
LTIMindtree,Hyderabad,Software Engineer,0-2 yrs,"Linux, Networking, Troubleshooting",8.3,Internship,Indeed,2025-10-04,https://www.example.com/apply/ltimindtree/Software-Engineer
IBM,Chennai,Process Associate,5-10 yrs,"Customer Support, Voice Process",10.8,Contract,Naukri,2025-09-05,https://www.example.com/apply/ibm/Process-Associate
Cognizant,Chennai,Software Engineer,0-2 yrs,"JavaScript, React, Node.js",9.6,Full-time,Indeed,2025-09-12,https://www.example.com/apply/cognizant/Software-Engineer
Infosys,Bengaluru,Process Associate,Fresher,"AI/ML, Deep Learning",18.8,Contract,LinkedIn,2025-09-14,https://www.example.com/apply/infosys/Process-Associate
Wipro,Chennai,DevOps Engineer,Fresher,"AWS, Azure, DevOps",6.7,Internship,Indeed,2025-09-06,https://www.example.com/apply/wipro/DevOps-Engineer
Wipro,Kolkata,Data Analyst,0-2 yrs,"AI/ML, Deep Learning",10.0,Internship,LinkedIn,2025-10-03,https://www.example.com/apply/wipro/Data-Analyst
Tech Mahindra,Chennai,DevOps Engineer,0-2 yrs,"Customer Support, Voice Process",18.1,Full-time,Indeed,2025-09-17,https://www.example.com/apply/tech mahindra/DevOps-Engineer
Infosys,Noida,Data Analyst,Fresher,"Excel, Tableau, SQL",18.7,Full-time,Glassdoor,2025-10-09,https://www.example.com/apply/infosys/Data-Analyst
Accenture,Mumbai,Data Analyst,5-10 yrs,"JavaScript, React, Node.js",2.7,Internship,Naukri,2025-09-06,https://www.example.com/apply/accenture/Data-Analyst
Tech Mahindra,Chennai,Business Analyst,2-5 yrs,"ETL, Data Warehousing",12.3,Internship,Glassdoor,2025-09-07,https://www.example.com/apply/tech mahindra/Business-Analyst
Tech Mahindra,Jaipur,Process Associate,Fresher,"ETL, Data Warehousing",12.9,Contract,Naukri,2025-09-14,https://www.example.com/apply/tech mahindra/Process-Associate
TCS,Gurugram,System Analyst,2-5 yrs,"Excel, Tableau, SQL",19.4,Full-time,Glassdoor,2025-09-17,https://www.example.com/apply/tcs/System-Analyst
TCS,Kolkata,Support Executive,5-10 yrs,"Linux, Networking, Troubleshooting",15.0,Contract,LinkedIn,2025-10-17,https://www.example.com/apply/tcs/Support-Executive
Cognizant,Jaipur,Data Analyst,Fresher,"AI/ML, Deep Learning",6.3,Full-time,Indeed,2025-09-13,https://www.example.com/apply/cognizant/Data-Analyst
TCS,Bengaluru,Business Analyst,0-2 yrs,"JavaScript, React, Node.js",3.7,Internship,Indeed,2025-10-02,https://www.example.com/apply/tcs/Business-Analyst
TCS,Jaipur,Software Engineer,2-5 yrs,"Java, Spring Boot",16.3,Internship,Indeed,2025-10-18,https://www.example.com/apply/tcs/Software-Engineer
HCL,Kolkata,Business Analyst,Fresher,"AWS, Azure, DevOps",8.7,Contract,LinkedIn,2025-09-27,https://www.example.com/apply/hcl/Business-Analyst
Wipro,Chennai,Data Analyst,0-2 yrs,"Python, SQL, Power BI",3.6,Full-time,Glassdoor,2025-10-04,https://www.example.com/apply/wipro/Data-Analyst
HCL,Ahmedabad,Data Analyst,5-10 yrs,"AWS, Azure, DevOps",16.1,Full-time,Naukri,2025-09-10,https://www.example.com/apply/hcl/Data-Analyst
TCS,Kolkata,Process Associate,5-10 yrs,"Java, Spring Boot",5.4,Internship,Glassdoor,2025-09-17,https://www.example.com/apply/tcs/Process-Associate
IBM,Chennai,Software Engineer,0-2 yrs,"Linux, Networking, Troubleshooting",16.6,Internship,LinkedIn,2025-09-03,https://www.example.com/apply/ibm/Software-Engineer
TCS,Pune,System Analyst,2-5 yrs,"Java, Spring Boot",15.9,Full-time,LinkedIn,2025-09-29,https://www.example.com/apply/tcs/System-Analyst
Wipro,Kolkata,System Analyst,2-5 yrs,"AWS, Azure, DevOps",9.5,Contract,Glassdoor,2025-10-03,https://www.example.com/apply/wipro/System-Analyst
Infosys,Kolkata,Software Engineer,2-5 yrs,"AWS, Azure, DevOps",13.5,Internship,LinkedIn,2025-09-28,https://www.example.com/apply/infosys/Software-Engineer
TCS,Chennai,Process Associate,Fresher,"Java, Spring Boot",8.7,Internship,Naukri,2025-09-04,https://www.example.com/apply/tcs/Process-Associate
IBM,Chennai,Business Analyst,Fresher,"Excel, Tableau, SQL",17.9,Contract,Glassdoor,2025-09-26,https://www.example.com/apply/ibm/Business-Analyst
Infosys,Kolkata,Test Engineer,2-5 yrs,Automation Testing,19.2,Contract,Naukri,2025-09-09,https://www.example.com/apply/infosys/Test-Engineer
IBM,Bengaluru,Data Analyst,2-5 yrs,"Python, SQL, Power BI",15.4,Internship,Indeed,2025-09-10,https://www.example.com/apply/ibm/Data-Analyst
IBM,Ahmedabad,Software Engineer,5-10 yrs,"ETL, Data Warehousing",12.1,Full-time,Indeed,2025-09-24,https://www.example.com/apply/ibm/Software-Engineer
Tech Mahindra,Noida,Support Executive,Fresher,"AI/ML, Deep Learning",11.3,Full-time,Indeed,2025-09-16,https://www.example.com/apply/tech mahindra/Support-Executive
Accenture,Ahmedabad,DevOps Engineer,Fresher,"JavaScript, React, Node.js",7.2,Contract,LinkedIn,2025-10-05,https://www.example.com/apply/accenture/DevOps-Engineer
Accenture,Bengaluru,Software Engineer,2-5 yrs,"Linux, Networking, Troubleshooting",14.5,Full-time,Naukri,2025-09-11,https://www.example.com/apply/accenture/Software-Engineer
Wipro,Gurugram,DevOps Engineer,5-10 yrs,"Linux, Networking, Troubleshooting",16.4,Internship,Naukri,2025-10-13,https://www.example.com/apply/wipro/DevOps-Engineer
Accenture,Gurugram,Data Analyst,0-2 yrs,"JavaScript, React, Node.js",3.1,Internship,Naukri,2025-10-19,https://www.example.com/apply/accenture/Data-Analyst
Capgemini,Chennai,Process Associate,2-5 yrs,"AI/ML, Deep Learning",10.6,Internship,Indeed,2025-09-22,https://www.example.com/apply/capgemini/Process-Associate
